Name,Category,
D'lecta Dairy Cream,Dairy,
Le Café Instant Coffee,Dairy,
Amul Rose Lassi,Dairy,
Colombian Brew Cappuccino Coffee Premix,Dairy,
Amul Lassi Rose Flavour,Dairy,
Nescafe Chilled Latte Coffee & Milk Beverage,Dairy,
Colombian Brew Double Chocolate Mocha Coffee Premix,Dairy,
Nescafe Cappuccino Flavour Instense Café,Dairy,
Nescafe Iced Latte Flavoured Can,Dairy,
Colombian Brew Hazelnut Coffee Premix,Dairy,
Nescafe Hazelnut Flavour Coffee & Milk Beverage,Dairy,
Cavin's Strawberry Milkshake,Dairy,
Yakult Light Health Drink,Dairy,
Nescafe Cappuccino Flavour Can,Dairy,
Colombian Brew Vanilla Caramel Coffee Premix,Dairy,
ID Instant Filter Coffee Bold,Dairy,
Epigamia Artisanal Mishti Doi,Dairy,
ID Instant Filter Coffee Strong,Dairy,
Davidoff Coffee Fine Aroma,Dairy,
Continental Speciale Coffee Pouch,Dairy,
Davidoff Coffee Crema Intense,Dairy,
D'lecta Dairy Whipping Cream,Dairy,
Raw Pressery Milkshake Cold Coffee,Dairy,
Amul Kesar Elaichi Basundi,Dairy,
TGL Co. Euphoria Instant Coffee Powder,Dairy,
Nescafé Classic Black Roast Coffee Jar,Dairy,
Chitale Keshar Flavoured Milk,Dairy,
Nescafe Classic Coffee Jar,Dairy,
Colombian Brew Green Coffee,Dairy,
Cadbury Bournvita Health Drink Refill,Dairy,
Pediasure Nutritional Powder - Premium Chocolate Flavour,Dairy,
Protinex Original Health Drink,Dairy,
Protinex Chocolate Flavour Health Drink Tin,Dairy,
Cadbury Bournvita 5 Star Magic Health Drink,Dairy,
Protinex Original,Dairy,
Horlicks Health & Nutrition Drink Refill - Chocolate,Dairy,
Amul Pro Whey Protein Malt Chocolate Drink,Dairy,
Cadbury Bournvita Jar,Dairy,
Horlicks Health & Nutrition Drink Refill - Classic Malt,Dairy,
Complan Chocolate Health Drink,Dairy,
Protinex Vanilla Flavour,Dairy,
Pediasure Vanilla Delight,Dairy,
Women's Horlicks Health & Nutrition Drink - Chocolate,Dairy,
Women's Horlicks Health & Nutrition Drink Jar - Caramel,Dairy,
Boost Refill Pack,Dairy,
Britannia Thick Dahi,Dairy,
Amul Masti Dahi,Dairy,
Cadbury Hot Chocolate Drinking Powder,Dairy,
ID Creamy Thick Curd - Dahi,Dairy,
Pediasure Nutritional Powder - Vanilla Delight Flavour,Dairy,
Ensure Nutrition Powder - Vanilla Flavour,Dairy,
Horlicks Classic Malt Jar,Dairy,
Complan Kesar Badam Health Drink,Dairy,
Horlicks Chocolate Delight Jar,Dairy,
Protinex Health Drink Chocolate Flavour Tin,Dairy,
Horlicks Chocolate Delight Health Drink Refill,Dairy,
Hershey's Natural Unsweetened Cocoa Powder,Dairy,
Amul Premium Dahi,Dairy,
Mother Dairy Mishti Doi,Dairy,
Gaia Sport Whey Irish Chocolate Protein,Dairy,
Hershey's Milk Booster Chocolate Flavor,Dairy,
Christopher Dark Cocoa Powder For Baking & Hot & Cold Drinks,Dairy,
Christopher Cocoa Original Drinking Cocoa,Dairy,
Horlicks Chocolate Delight Flavour Jar,Dairy,
Blue Bird Cocoa Powder,Dairy,
Mirinda Orange,Dairy,
Thums Up,Dairy,
Sprite,Dairy,
Thums Up Bottle,Dairy,
Coca-Cola Bottle,Dairy,
Pepsi,Dairy,
Fanta Orange Flavour,Dairy,
Bisleri Club Soda,Dairy,
7 Up,Dairy,
Coca-Cola,Dairy,
Limca,Dairy,
Xotik Jeeru Jeera Masala Drink,Dairy,
Diet Coke Tin,Dairy,
Duke's Club Soda,Dairy,
Coolberg Assorted Non-Alcoholic Beer,Dairy,
Budweiser Green Apple Non-Alcoholic Beer Can,Dairy,
Cravova Classic Mojito,Dairy,
Coolberg Cranberry Non-Alcoholic Beer,Dairy,
Epigamia Low Fat Greek Yogurt Blueberry,Dairy,
Cravova Peach Mojito,Dairy,
Epigamia Low Fat Greek Yogurt Strawberry,Dairy,
Cravova Green Apple Mojito,Dairy,
Epigamia Greek Yogurt Natural,Dairy,
Bisleri Limonata - With Lime Juice,Dairy,
Coke Zero Sugar,Dairy,
Cravova Watermelon Mojito,Dairy,
Coolberg Peach Non-Alcoholic Beer,Dairy,
Epigamia Low Fat Greek Yogurt Alphonso Mango,Dairy,
Cravova Fresh Lemonade,Dairy,
Epigamia Low Fat Greek Yogurt Wild Raspberry,Dairy,
Coca-Cola Tin,Dairy,
Coolberg Ginger Non-Alcoholic Beer,Dairy,
Epigamia Greek Yogurt Zero Added Sugar Strawberry,Dairy,
Bisleri Spyci - Masala Maar Ke,Dairy,
Epigamia Greek Yogurt Smoothie - Blueberry,Dairy,
